RV32PRIVM,"Privileged, Machine-Level ISA",1.11
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
,,,,,cp_mstatush_mbe,mstatush (CSR) field mbe,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatush_sbe,mstatush (CSR) field sbe,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mtvec,"Privileged, Machine-Level ISA",mtvec_cg,,,,,,
,,,,,cp_mtvec_mode,mtvec (CSR) field mode,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,pmpcfg0,"Privileged, Machine-Level ISA",pmpcfg0_cg,,,,,,
,,,,,cp_pmpcfg0_pmp0cfg_a,pmpcfg0 (CSR) field pmp0cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp0cfg_l,pmpcfg0 (CSR) field pmp0cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp0cfg_xwr,pmpcfg0 (CSR) field pmp0cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_a,pmpcfg0 (CSR) field pmp1cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_l,pmpcfg0 (CSR) field pmp1cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_xwr,pmpcfg0 (CSR) field pmp1cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_a,pmpcfg0 (CSR) field pmp2cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_l,pmpcfg0 (CSR) field pmp2cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_xwr,pmpcfg0 (CSR) field pmp2cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_a,pmpcfg0 (CSR) field pmp3cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_l,pmpcfg0 (CSR) field pmp3cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_xwr,pmpcfg0 (CSR) field pmp3cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,pmpcfg1,"Privileged, Machine-Level ISA",pmpcfg1_cg,,,,,,
,,,,,cp_pmpcfg1_pmp4cfg_a,pmpcfg1 (CSR) field pmp4cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp4cfg_l,pmpcfg1 (CSR) field pmp4cfg_l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp4cfg_xwr,pmpcfg1 (CSR) field pmp4cfg_xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp5cfg_a,pmpcfg1 (CSR) field pmp5cfg_a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
